CarName,wheelbase,curbweight,cylindernumber,horsepower,citympg,highwaympg,price,fueltype_gas,drivewheel_rwd,drivewheel_fwd,enginelocation_front,carbody_convertible,carbody_hatchback,carbody_sedan,carbody_wagon
alfa-romeo,88.6,2548,4,111,21,27,13495.0,1,1,0,1,1,0,0,0
alfa-romeo,88.6,2548,4,111,21,27,16500.0,1,1,0,1,1,0,0,0
alfa-romeo,94.5,2823,6,154,19,26,16500.0,1,1,0,1,0,1,0,0
audi,99.8,2337,4,102,24,30,13950.0,1,0,1,1,0,0,1,0
audi,99.4,2824,5,115,18,22,17450.0,1,0,0,1,0,0,1,0
audi,99.8,2507,5,110,19,25,15250.0,1,0,1,1,0,0,1,0
audi,105.8,2844,5,110,19,25,17710.0,1,0,1,1,0,0,1,0
audi,105.8,2954,5,110,19,25,18920.0,1,0,1,1,0,0,0,1
audi,105.8,3086,5,140,17,20,23875.0,1,0,1,1,0,0,1,0
audi,99.5,3053,5,160,16,22,17859.167,1,0,0,1,0,1,0,0
bmw,101.2,2395,4,101,23,29,16430.0,1,1,0,1,0,0,1,0
bmw,101.2,2395,4,101,23,29,16925.0,1,1,0,1,0,0,1,0
bmw,101.2,2710,6,121,21,28,20970.0,1,1,0,1,0,0,1,0
bmw,101.2,2765,6,121,21,28,21105.0,1,1,0,1,0,0,1,0
bmw,103.5,3055,6,121,20,25,24565.0,1,1,0,1,0,0,1,0
bmw,103.5,3230,6,182,16,22,30760.0,1,1,0,1,0,0,1,0
bmw,103.5,3380,6,182,16,22,41315.0,1,1,0,1,0,0,1,0
bmw,110.0,3505,6,182,15,20,36880.0,1,1,0,1,0,0,1,0
chevrolet,88.4,1488,3,48,47,53,5151.0,1,0,1,1,0,1,0,0
chevrolet,94.5,1874,4,70,38,43,6295.0,1,0,1,1,0,1,0,0
chevrolet,94.5,1909,4,70,38,43,6575.0,1,0,1,1,0,0,1,0
dodge,93.7,1876,4,68,37,41,5572.0,1,0,1,1,0,1,0,0
dodge,93.7,1876,4,68,31,38,6377.0,1,0,1,1,0,1,0,0
dodge,93.7,2128,4,102,24,30,7957.0,1,0,1,1,0,1,0,0
dodge,93.7,1967,4,68,31,38,6229.0,1,0,1,1,0,1,0,0
dodge,93.7,1989,4,68,31,38,6692.0,1,0,1,1,0,0,1,0
dodge,93.7,1989,4,68,31,38,7609.0,1,0,1,1,0,0,1,0
dodge,93.7,2191,4,102,24,30,8558.0,1,0,1,1,0,0,1,0
dodge,103.3,2535,4,88,24,30,8921.0,1,0,1,1,0,0,0,1
dodge,95.9,2811,4,145,19,24,12964.0,1,0,1,1,0,1,0,0
honda,86.6,1713,4,58,49,54,6479.0,1,0,1,1,0,1,0,0
honda,86.6,1819,4,76,31,38,6855.0,1,0,1,1,0,1,0,0
honda,93.7,1837,4,60,38,42,5399.0,1,0,1,1,0,1,0,0
honda,93.7,1940,4,76,30,34,6529.0,1,0,1,1,0,1,0,0
honda,93.7,1956,4,76,30,34,7129.0,1,0,1,1,0,1,0,0
honda,96.5,2010,4,76,30,34,7295.0,1,0,1,1,0,0,1,0
honda,96.5,2024,4,76,30,34,7295.0,1,0,1,1,0,0,0,1
honda,96.5,2236,4,86,27,33,7895.0,1,0,1,1,0,1,0,0
honda,96.5,2289,4,86,27,33,9095.0,1,0,1,1,0,1,0,0
honda,96.5,2304,4,86,27,33,8845.0,1,0,1,1,0,0,1,0
honda,96.5,2372,4,86,27,33,10295.0,1,0,1,1,0,0,1,0
honda,96.5,2465,4,101,24,28,12945.0,1,0,1,1,0,0,1,0
