fueltype,aspiration,carbody,drivewheel,enginelocation,wheelbase,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price,Brand
gas,std,convertible,rwd,front,88.6,2548,dohc,four,130,mpfi,111,21,27,13495.0,alfa-romeo
gas,std,convertible,rwd,front,88.6,2548,dohc,four,130,mpfi,111,21,27,16500.0,alfa-romeo
gas,std,hatchback,rwd,front,94.5,2823,ohc,six,152,mpfi,154,19,26,16500.0,alfa-romeo
gas,std,sedan,fwd,front,99.8,2337,ohc,four,109,mpfi,102,24,30,13950.0,audi
gas,std,sedan,4wd,front,99.4,2824,ohc,five,136,mpfi,115,18,22,17450.0,audi
gas,std,sedan,fwd,front,99.8,2507,ohc,five,136,mpfi,110,19,25,15250.0,audi
gas,std,sedan,fwd,front,105.8,2844,ohc,five,136,mpfi,110,19,25,17710.0,audi
gas,std,wagon,fwd,front,105.8,2954,ohc,five,136,mpfi,110,19,25,18920.0,audi
gas,turbo,sedan,fwd,front,105.8,3086,ohc,five,131,mpfi,140,17,20,23875.0,audi
gas,turbo,hatchback,4wd,front,99.5,3053,ohc,five,131,mpfi,160,16,22,17859.167,audi
gas,std,sedan,rwd,front,101.2,2395,ohc,four,108,mpfi,101,23,29,16430.0,bmw
gas,std,sedan,rwd,front,101.2,2395,ohc,four,108,mpfi,101,23,29,16925.0,bmw
gas,std,sedan,rwd,front,101.2,2710,ohc,six,164,mpfi,121,21,28,20970.0,bmw
gas,std,sedan,rwd,front,101.2,2765,ohc,six,164,mpfi,121,21,28,21105.0,bmw
gas,std,sedan,rwd,front,103.5,3055,ohc,six,164,mpfi,121,20,25,24565.0,bmw
gas,std,sedan,rwd,front,103.5,3230,ohc,six,209,mpfi,182,16,22,30760.0,bmw
gas,std,sedan,rwd,front,103.5,3380,ohc,six,209,mpfi,182,16,22,41315.0,bmw
gas,std,sedan,rwd,front,110.0,3505,ohc,six,209,mpfi,182,15,20,36880.0,bmw
gas,std,hatchback,fwd,front,88.4,1488,l,three,61,2bbl,48,47,53,5151.0,chevrolet
gas,std,hatchback,fwd,front,94.5,1874,ohc,four,90,2bbl,70,38,43,6295.0,chevrolet
gas,std,sedan,fwd,front,94.5,1909,ohc,four,90,2bbl,70,38,43,6575.0,chevrolet
gas,std,hatchback,fwd,front,93.7,1876,ohc,four,90,2bbl,68,37,41,5572.0,dodge
